1;2;0;3;41.00;22.00;71.60;76.98;64.00;
1;2;1;4;40.70;22.00;71.60;76.97;65.00;
1;2;2;5;40.70;22.00;71.60;76.97;64.00;
1;3;0;6;41.00;22.00;71.60;76.98;65.00;
1;3;1;7;41.00;22.00;71.60;76.98;65.00;
1;3;2;8;41.00;22.00;71.60;76.98;65.00;
1;4;0;9;41.00;22.00;71.60;76.98;65.00;
1;4;1;10;41.10;22.00;71.60;76.98;65.00;
1;4;2;11;41.10;22.00;71.60;76.98;65.00;
1;5;0;12;40.40;22.00;71.60;76.96;65.00;
1;5;1;13;40.40;22.00;71.60;76.96;65.00;
1;5;2;14;40.40;22.00;71.60;76.96;65.00;
1;6;0;15;40.40;22.00;71.60;76.96;65.00;
1;6;1;16;40.00;22.00;71.60;76.95;65.00;
1;6;2;17;40.00;22.00;71.60;76.95;65.00;
1;7;0;18;40.10;22.00;71.60;76.95;65.00;
1;7;1;19;40.10;22.00;71.60;76.95;65.00;
1;7;2;20;40.40;22.00;71.60;76.96;65.00;
1;8;0;21;40.40;22.00;71.60;76.96;65.00;
1;8;1;22;40.20;22.00;71.60;76.95;65.00;
1;8;2;23;40.20;22.00;71.60;76.95;65.00;
1;9;0;24;40.30;22.00;71.60;76.96;65.00;
1;9;1;25;40.30;22.00;71.60;76.96;65.00;
1;9;2;26;40.80;22.00;71.60;76.97;64.00;
1;10;0;27;40.80;22.00;71.60;76.97;65.00;
1;10;1;28;40.40;22.00;71.60;76.96;65.00;
1;10;2;29;40.40;22.00;71.60;76.96;65.00;
1;11;0;30;40.50;22.00;71.60;76.96;65.00;
1;11;1;31;40.50;22.00;71.60;76.96;64.00;
1;11;2;32;40.70;22.00;71.60;76.97;65.00;
1;12;0;33;40.70;22.00;71.60;76.97;65.00;
1;12;1;34;40.50;22.00;71.60;76.96;65.00;
1;12;2;35;40.50;22.00;71.60;76.96;65.00;
1;13;0;36;40.40;22.00;71.60;76.96;65.00;
1;13;1;37;40.40;22.00;71.60;76.96;65.00;
1;13;2;38;40.70;22.00;71.60;76.97;64.00;
1;14;0;39;40.70;22.00;71.60;76.97;64.00;
1;14;1;40;40.90;22.00;71.60;76.97;64.00;
1;14;2;41;40.90;22.00;71.60;76.97;64.00;
1;15;0;42;40.70;22.00;71.60;76.97;64.00;
1;15;1;43;40.70;22.00;71.60;76.97;64.00;
1;15;2;44;40.60;22.00;71.60;76.97;65.00;
1;16;0;45;40.60;22.00;71.60;76.97;64.00;
1;16;1;46;40.60;22.00;71.60;76.97;65.00;
1;16;2;47;40.60;22.00;71.60;76.97;65.00;
1;17;0;48;40.70;22.00;71.60;76.97;65.00;
1;17;1;49;40.70;22.00;71.60;76.97;64.00;
1;17;2;50;40.70;22.00;71.60;76.97;65.00;
