1;1;0;1;32.40;18.90;66.02;78.18;52.01
1;1;1;1;42.10;18.90;63.02;78.18;37.00
1;1;2;2;42.53;18.90;66.02;78.19;37.00
1;2;0;3;42.50;18.90;66.02;78.19;38.01
1;2;1;4;41.90;18.90;66.02;78.15;38.00
1;2;2;5;41.90;18.90;66.02;78.15;38.00
1;3;0;6;41.30;18.90;66.02;78.12;38.00
1;3;1;7;41.30;18.90;66.02;78.12;39.00
1;3;2;8;41.20;18.80;65.84;78.19;38.00
1;4;0;9;41.20;18.80;65.84;78.19;39.00
1;4;1;10;41.20;18.80;65.84;78.19;38.00
1;4;2;11;41.20;18.80;65.84;78.19;38.00
1;5;0;12;41.40;18.70;65.66;78.28;38.00
1;5;1;13;41.40;18.70;65.66;78.28;38.00
1;5;2;14;41.40;18.60;65.48;78.37;38.00
1;6;0;15;41.40;18.60;65.48;78.37;38.00
1;6;1;16;41.50;18.60;65.48;78.37;38.00
1;6;2;17;41.50;18.60;65.48;78.37;39.00
1;7;0;18;41.60;18.60;65.48;78.38;38.00
1;7;1;29;41.99;18.60;65.48;78.38;39.00
